rapor_tarihi,sira,baslik,url,kaynak,tarih,ne_oldu,ne_oldu_en,senin_icin_neden_onemli,senin_icin_neden_onemli_en,ne_takip_edilmeli,ne_takip_edilmeli_en,onem_puani
2026-07-23,1,LAARA: Layer-Aware Adaptive Rank Allocation for Parameter-Efficient Fine-Tuning,https://arxiv.org/abs/2607.19391,arXiv - Makine Ogrenmesi (cs.LG),2026-07-23,"LAARA (Layer-Aware Adaptive Rank Allocation) adlı yeni bir yöntem, LoRA tabanlı ince ayarlama için her transformatör katmanına aynı adaptör rankı atamak yerine, katman bazlı adaptif rank tahsisi yaparak daha verimli parametre kullanımı sağlıyor.","LAARA (Layer-Aware Adaptive Rank Allocation) introduces a new method that provides more efficient parameter usage by adaptively allocating different adapter ranks per transformer layer, instead of assigning the same rank to every layer in LoRA-based fine-tuning.","LoRA, büyük modelleri kısıtlı kaynaklarla ince ayarlamak için kullanılan önemli bir teknik. Bu çalışma, senin de kullanabileceğin sklearn ve Python bilginle entegre edilebilecek, daha akıllı ve verimli model eğitimi stratejileri sunuyor.","LoRA is a key technique for fine-tuning large models with limited resources. This study offers smarter, more efficient model training strategies that you can integrate with your sklearn and Python knowledge.",LAARA'nın açık kaynak implementasyonları ve karşılaştırmalı performans sonuçlarını takip et; kendi projelerinde ince ayar yaparken kullanabilirsin.,Follow open-source implementations and comparative performance results of LAARA; you can use it when fine-tuning models in your own projects.,9
2026-07-23,2,"AI chip startup Etched defies skeptics, hits $10.3B valuation from big-name investors",https://techcrunch.com/2026/07/23/ai-chip-startup-etched-defies-skeptics-hits-10-3b-valuation-from-big-name-investors/,TechCrunch AI,2026-07-23,"Etched adlı AI çip startup'ı, GPU'lara ihtiyaç duymadan herhangi bir AI modelinde çıkarım hızlandıran yeni çipler ve bellek bileşenleri geliştirdiğini açıkladı ve 10.3 milyar dolar değerlemeye ulaştı.","AI chip startup Etched announced it has developed new chips and memory components that accelerate inference on any AI model without requiring GPUs, reaching a $10.3B valuation.","GPU'ların maliyeti ve erişimi sınırlı; yeni çip teknolojileri daha ucuz ve erişilebilir AI çıkarımı sunabilir. Bu, senin gelecekteki iş ortamında model deployment stratejilerini ve altyapı kararlarını etkileyebilir.","GPUs are costly and limited in access; new chip technologies can offer cheaper, more accessible AI inference. This could influence model deployment strategies and infrastructure decisions in your future work environment.",Etched'in çiplerinin benchmark sonuçları ve hangi modeller/uygulamalar için kullanılabileceğini izle; alternatif donanım ekosisteminin gelişimini takip et.,Watch Etched's chip benchmark results and which models/applications they can be used for; follow the development of the alternative hardware ecosystem.,8
2026-07-23,3,SLPO: Scaling Latent Reasoning via a Surrogate Policy,https://arxiv.org/abs/2607.19691,arXiv - Dil Isleme (cs.CL),2026-07-23,"SLPO (Scaling Latent Reasoning via a Surrogate Policy) adlı çalışma, doğrulanabilir ödüllerle pekiştirmeli öğrenme kullanarak test zamanı ölçeklendirilmesi için yeni bir yöntem sunuyor ve açık Chain-of-Thought akıl yürütme modellerini geliştiriyor.","SLPO (Scaling Latent Reasoning via a Surrogate Policy) presents a new method for test-time scaling using reinforcement learning with verifiable rewards, improving explicit Chain-of-Thought reasoning models.","Chain-of-Thought ve pekiştirmeli öğrenme, LLM'lerin akıl yürütme yeteneklerini artıran güncel yöntemler. Bu araştırma, senin AI ve ML bilgini derinleştirmeni ve performans optimizasyonu konularında uzmanlık kazanmanı sağlar.",Chain-of-Thought and reinforcement learning are current methods that enhance LLMs' reasoning abilities. This research deepens your AI and ML knowledge and helps you gain expertise in performance optimization.,"SLPO'nun kod ve model versiyonlarını izle; akıl yürütme benchmark'larındaki (MATH, AIME) sonuçlarını karşılaştır.","Follow SLPO's code and model releases; compare results on reasoning benchmarks (MATH, AIME).",8
2026-07-23,4,Statistical Inference for Rank Allocation in Low-Rank Adaptation,https://arxiv.org/abs/2607.20205,arXiv - Istatistik ML (stat.ML),2026-07-23,LoRA için rank tahsisi konusunda istatistiksel çıkarım yapan bir çalışma yayınlandı; hangi modül ve katmanlara ne kadar rank atanması gerektiğini veriye dayalı olarak belirlemeyi amaçlıyor.,"A study on statistical inference for rank allocation in LoRA was published, aiming to determine data-driven rank assignment for different modules and layers.","İstatistik bilgin ve sklearn deneyimin, LoRA gibi pratik ML tekniklerini teorik olarak daha sağlam temellere oturtmanda avantaj sağlar. Bu çalışma, model verimliliği ve hiperparametre seçimi konularında yeni perspektif sunar.",Your statistics knowledge and sklearn experience give you an advantage in grounding practical ML techniques like LoRA on stronger theoretical foundations. This study offers new perspectives on model efficiency and hyperparameter selection.,Çalışmanın metodolojisini ve istatistiksel test sonuçlarını incele; kendi ince ayar projelerinde rank seçimi için kullanılabilir.,Examine the study's methodology and statistical test results; it can be used for rank selection in your own fine-tuning projects.,8
2026-07-23,5,Air Quality Arena: A Large-Scale Multi-Region Ground Monitoring Dataset and Benchmark for Air Quality Forecasting with Time-Series Foundation Models,https://arxiv.org/abs/2607.19381,arXiv - Makine Ogrenmesi (cs.LG),2026-07-23,"Air Quality Arena, hava kalitesi tahmini için çok bölgeli büyük ölçekli bir veri seti ve benchmark sunuyor; zaman serisi temel modelleriyle test ediliyor.","Air Quality Arena presents a large-scale multi-region dataset and benchmark for air quality forecasting, tested with time-series foundation models.","Zaman serisi analizi, istatistik eğitiminin güçlü bir parçası ve pandas, sklearn gibi araçlarla çalışmaya uygun. Bu veri seti, gerçek dünya problemlerinde proje portföyüne ekleyebileceğin zengin bir kaynak.",Time series analysis is a strong part of statistics education and suitable for working with tools like pandas and sklearn. This dataset is a rich resource you can add to your portfolio on real-world problems.,Veri setinin açık erişim linkini bul ve örnek zaman serisi modelleme çalışmaları yap; hava kalitesi tahmin yarışmaları veya projelerine katılabilirsin.,Find the dataset's open-access link and do sample time series modeling work; you can join air quality forecasting competitions or projects.,7
2026-07-23,6,A Bayesian Framework for Built-in Input Dimension Reduction for Gaussian Process Modeling,https://arxiv.org/abs/2607.19498,arXiv - Istatistik ML (stat.ML),2026-07-23,Gaussian Process (GP) modellemesinde yüksek boyutlu girdiler için Bayesci bir çerçeve ile boyut indirgeme yapan yeni bir yöntem geliştirildi.,A new Bayesian framework for built-in input dimension reduction in Gaussian Process (GP) modeling for high-dimensional inputs was developed.,"Gaussian Process, istatistik ve makine öğrenmesinde belirsizlik modellemesi için kullanılan güçlü bir araç. Bu çalışma, senin istatistik teorisi bilgini derinleştirir ve yüksek boyutlu veri setleriyle çalışırken kullanabileceğin yöntemler sunar.",Gaussian Process is a powerful tool for uncertainty modeling in statistics and machine learning. This study deepens your statistical theory knowledge and offers methods you can use when working with high-dimensional datasets.,GP tabanlı dimension reduction yöntemlerinin Python implementasyonlarını ve kıyaslama sonuçlarını takip et.,Follow Python implementations and benchmark results of GP-based dimension reduction methods.,7
2026-07-23,7,Bringing Nunchaku 4-bit Diffusion Inference to Diffusers,https://huggingface.co/blog/nunchaku-diffusers,Hugging Face Blog,2026-07-23,"Nunchaku 4-bit difüzyon çıkarımı, Hugging Face'in Diffusers kütüphanesine entegre edildi; daha hızlı ve düşük bellek tüketimli görüntü üretimi sunuyor.","Nunchaku 4-bit diffusion inference was integrated into Hugging Face's Diffusers library, offering faster and lower memory consumption image generation.","Difüzyon modelleri, görüntü üretimi ve görsel tasarımda çok güçlü; bu entegrasyon, senin tasarım ilgini AI ile birleştirmene ve daha verimli model çalıştırmana yardımcı olur.",Diffusion models are very powerful in image generation and visual design; this integration helps you combine your design interest with AI and run models more efficiently.,Diffusers kütüphanesinde Nunchaku kullanım örneklerini ve performans karşılaştırmalarını incele; kendi generative art projelerinde dene.,Examine Nunchaku usage examples and performance comparisons in the Diffusers library; try it in your own generative art projects.,7
2026-07-23,8,When Reasoning Narrows the Move: Diversity Collapse in LLM Game Play,https://arxiv.org/abs/2607.19523,arXiv - Dil Isleme (cs.CL),2026-07-23,LLM'lerin oyun oynarken çeşitliliğinin azaldığını gösteren bir çalışma yayınlandı; supervised fine-tuning (SFT) sıralı karar verme görevlerinde davranışsal çeşitliliği düşürüyor.,A study showing that LLM diversity collapses during game play was published; supervised fine-tuning (SFT) reduces behavioral diversity in sequential decision-making tasks.,"LLM'lerin davranış kalıpları ve ince ayar yöntemlerinin yan etkileri, model güvenilirliği ve performansı açısından kritik. Bu, senin model değerlendirme ve seçim becerilerini geliştirmene yardımcı olur.",LLM behavior patterns and side effects of fine-tuning methods are critical for model reliability and performance. This helps you improve your model evaluation and selection skills.,Diversity collapse üzerine yapılan araştırmaları ve alternatif fine-tuning stratejilerini (örneğin RLHF) takip et.,"Follow research on diversity collapse and alternative fine-tuning strategies (e.g., RLHF).",6
2026-07-23,9,Grabette: an open system to record robot-manipulation data,https://huggingface.co/blog/grabette,Hugging Face Blog,2026-07-21,"Grabette, robot manipülasyon verisi kaydetmek için açık kaynaklı bir sistem tanıtıldı; fiziksel AI için veri toplama altyapısını demokratikleştiriyor.","Grabette, an open-source system for recording robot manipulation data, was introduced, democratizing data collection infrastructure for physical AI.","Açık kaynak veri toplama araçları, fiziksel AI ve robotik alanında projeler geliştirmeni kolaylaştırır; Python ve veri işleme becerilerinle entegre edilebilir.",Open-source data collection tools make it easier to develop projects in physical AI and robotics; they can be integrated with your Python and data processing skills.,Grabette'in GitHub sayfasını ve fiziksel AI için diğer açık veri setlerini takip et.,Follow Grabette's GitHub page and other open datasets for physical AI.,6
2026-07-23,10,Google justifies its massive AI spending with a booming cloud business,https://techcrunch.com/2026/07/22/google-justifies-its-massive-ai-spending-with-a-booming-cloud-business/,TechCrunch AI,2026-07-22,"Google, Cloud iş kolunun büyük başarısı sayesinde rekor kâr açıkladı; şirketler Google'ın AI ve AI altyapı hizmetlerini yaygın şekilde benimsiyor.",Google reported record profits thanks to its thriving cloud business; companies are widely adopting Google's AI and AI infrastructure services.,"Bulut tabanlı AI hizmetlerinin yaygınlaşması, senin gelecekte çalışacağın iş ortamının altyapısını şekillendiriyor. Google Cloud, BigQuery, Vertex AI gibi araçlar kariyer fırsatlarını artırır.","The widespread adoption of cloud-based AI services shapes the infrastructure of your future work environment. Tools like Google Cloud, BigQuery, and Vertex AI increase career opportunities.",Google Cloud'un yeni AI özelliklerini ve sertifika programlarını takip et; bulut tabanlı veri analizi ve AI deployment becerilerini geliştir.,Follow Google Cloud's new AI features and certification programs; develop cloud-based data analysis and AI deployment skills.,6
